Comment,Value,Description,Designator,Footprint,Quantity,Supplier 1,Supplier Order Qty 1,Supplier Part Number 1,Supplier Stock 1,Supplier Subtotal 1,Supplier Unit Price 1,Supplier 2,Supplier Order Qty 2,Supplier Part Number 2,Supplier Stock 2,Supplier Subtotal 2,Supplier Unit Price 2

"CRCW0805715KFKEA","715k","Thick film resistor, 1%, 125mW","R14_T1, R14_T2, R14_T3, R14_T4","","4","Mouser","4","71-CRCW0805715KFKEA","32794","2,164","0,541","","","","","",""
"CRCW0805442RFKEA","442","Thick film resistor, 1%, 125mW","R7_T1, R7_T2, R7_T3, R7_T4","","4","Mouser","4","71-CRCW0805-442-E3","13349","2,164","0,541","","","","","",""
"CRCW0805300RFKEA","300","Thick film resistor, 1%, 125mW","R15, R17, R19, R21","","4","Mouser","4","71-CRCW0805300RFKEA","34645","2,164","0,541","","","","","",""
"CRCW0805294KFKEA","294k","Thick film resistor, 1%, 125mW","R13_T1, R13_T2, R13_T3, R13_T4","","4","Mouser","4","71-CRCW0805294KFKEA","4636","2,164","0,541","","","","","",""
"CRCW0805220RFKEA","220","Thick film resistor, 1%, 125mW","R27","","1","Mouser","1","71-CRCW0805-220-E3","87016","0,541","0,541","","","","","",""
"CRCW0805215KFKEA","215k","Thick film resistor, 1%, 125mW","R12_T1, R12_T2, R12_T3, R12_T4","","4","Mouser","4","71-CRCW0805-215K-E3","9094","2,164","0,541","Farnell","4","1652955","10437","","0,27"
"CRCW0805133KFKEA","133k","Thick film resistor, 1%, 125mW","R11_T1, R11_T2, R11_T3, R11_T4","","4","Mouser","4","71-CRCW0805-133K-E3","5528","2,164","0,541","","","","","",""
"C0805C104K5RACTU","100 nF","Ceramic capacitor, X7R, 10%, 50V","C1, C2, C3_T1, C3_T2, C3_T3, C3_T4, C4_T1, C4_T2, C4_T3, C4_T4, C15, C16, C19","","13","Mouser","13","80-C0805C104K5R","1193229","8,788","0,676","Farnell","13","1414664","40980","","0,221"
"C3216C0G1H104J160AA","100 nF","Ceramic capacitor, C0G, 5%, 50V","C23","","1","Mouser","1","810-C3216C0G1H104J","3578","4,66","4,66","","","","","",""
"GRM31C5C1E104JA01L","100 nF","Ceramic capacitor, C0G, 5%, 25V","C8_T1, C8_T2, C8_T3, C8_T4, C9_T1, C9_T2, C9_T3, C9_T4","","8","Mouser","10","81-GRM31C5C1E104JA01","45719","21,5","2,15","","","","","",""
"ERJ-6RSFR10V","100m","Thick film resistor, 1%, 125mW","R26","","1","Mouser","1","667-ERJ-6RSFR10V","3840","4,19","4,19","Farnell","5","1717785","7094","","1,69"
"GRM31C5C1H823GA01L","82 nF","Ceramic capacitor, C0G, 2%, 50V","C10_T1, C10_T2, C10_T3, C10_T4","","4","Mouser","4","81-GRM31C5C1H823GA1L","1957","30,84","7,71","","","","","",""
"RG2012P-4022-B-T5","40.2k","Thin film resistor, 0.1%, 100mW","R23","","1","Mouser","1","754-RG2012P-4022-BT5","2741","1,96","1,96","","","","","",""
"CRCW080522K6FKEA","22.6k","Thick film resistor, 1%, 125mW","R9_T1, R9_T2, R9_T3, R9_T4","","4","Mouser","4","71-CRCW0805-22.6K-E3","37900","2,164","0,541","Farnell","4","1652961","11210","","0,27"
