Comment	Value	Description	Designator	Quantity	Supplier 1	Supplier Order Qty 1	Supplier Part Number 1	Supplier Stock 1	Supplier Subtotal 1	Supplier Unit Price 1	Supplier 2	Supplier Order Qty 2	Supplier Part Number 2	Supplier Stock 2	Supplier Subtotal 2	Supplier Unit Price 2
71600-110LF		IDC socket, 10way, 2.54 mm	X2, X3, X4, X5, X6, X7	6	Farnell	6	1103927	485	 kr 35,46 	 kr 5,91 					 kr -   	
AD623BRZ		Instrumentation amplifier, rail to rail	U4_T1, U4_T2, U4_T3, U4_T4	4	Mouser	4	584-AD623BRZ	1835	 kr 169,32 	 kr 42,33 	Farnell	4	2305589	232	 kr 180,60 	 kr 45,15 
ADR3425ARJZ		Series voltage reference, 2.5V	U13	1	Mouser	1	584-ADR3425ARJZ-R7	3290	 kr 17,49 	 kr 17,49 	Farnell	1	1827384	7620	 kr 22,81 	 kr 22,81 
ADT7410TRZ		Temperature sensor, I2C output	U2	1	Mouser	1	584-ADT7410TRZ	1561	 kr 23,83 	 kr 23,83 	Farnell	1	2102534	1637	 kr 18,56 	 kr 18,56 
AQV252GA		Solid state relay, DC/AC, 60V, 2.5A	U5, U6, U7, U8	4	Mouser	4	769-AQV252GA	2006	 kr 139,92 	 kr 34,98 						
HSCDANN015PA2A3		Absolute pressure sensor, I2C output	U1	1	Mouser	1	785-HSCDANN015PA2A3	16	 kr 298,37 	 kr 298,37 						
KP-3216CGCK		Chip led lamp,green, 50mcd @ 20mA	D1	1	Farnell	1	2290333	1710	 kr 0,94 	 kr 0,94 						
LMP7702MA/NOPB		Op. amp, dual, rail-to-rail, single supply	U3_T1, U3_T2, U3_T3, U3_T4, U10	5	Farnell	5	1651867	510	 kr 90,85 	 kr 18,17 						
MA-ISK-S15-500-P1-2.0-C2-T		Type K thermocouple, mineral insulated	X1	1	Farnell	1	1289623	6	 kr 256,70 	 kr 256,70 						
SA36CA-E3/54		TVS diode, bidirectional, 36 V	TVS1, TVS2, TVS3, TVS4	4	Mouser	4	625-SA36CA-E3/54	3710	 kr 13,80 	 kr 3,45 						
T821110A1S100CEU		Header, 2x5, 2.54mm	J1, J2, J3	3	Farnell	3	2215304	7279	 kr 12,09 	 kr 4,03 						
TPS7A4533DCQ		LDO regulator, 3.3V, 1.5A	U9	1	Mouser	1	595-TPS7A4533DCQT	629	 kr 25,35 	 kr 25,35 						
								Totalt:	 kr 1 288,57 							
